
 num     #instances         #bytes  class name
 234:            48          21048  [[Lorg.apache.lucene.util.automaton.Transition;
 235:           657          21024  org.apache.lucene.index.MultiTermsEnum$TermsEnumWithSlice
 236:           875          21000  org.apache.lucene.index.ReaderSlice
 237:           645          20640  java.util.LinkedHashMap$ValueIterator
 238:           133          20216  [Lorg.apache.lucene.util.packed.PackedInts$Encoder;
 239:           133          20216  [Lorg.apache.lucene.util.packed.PackedInts$Decoder;
 240:           629          20128  com.sun.org.apache.xerces.internal.xni.QName
 241:           276          19872  java.util.logging.Logger
 242:           821          19704  org.apache.solr.core.JmxMonitoredMap$SolrDynamicMBean
 243:           158          19536  [Lorg.apache.lucene.index.FieldInfo;
 244:           609          19488  org.apache.lucene.codecs.lucene42.Lucene42DocValuesProducer$NumericEntry
 245:           485          19400  org.apache.solr.core.PluginInfo
 246:           606          19392  org.apache.lucene.search.BooleanQuery
 247:           346          19376  java.text.DateFormatSymbols
 248:           248          18560  [[I
 249:           578          18496  org.apache.lucene.index.NormsConsumerPerField
 250:           578          18496  org.apache.lucene.index.DocInverterPerField
 251:           177          18408  java.lang.Thread
 252:          1135          18160  org.wltea.analyzer.core.IKArbitrator
 253:          1135          18160  org.wltea.analyzer.core.CJKSegmenter
 254:           378          17968  [Lorg.apache.lucene.index.ReaderSlice;
 255:           741          17784  java.util.Collections$SingletonList
 256:           441          17640  org.apache.lucene.util.BytesRefHash$1
 257:           441          17640  org.apache.lucene.index.TermVectorsConsumerPerField$TermVectorsPostingsArray
 258:           137          17536  org.apache.coyote.http11.Http11Processor
 259:           719          17256  sun.security.util.DerInputStream
 260:           537          17184  java.io.RandomAccessFile
 261:           715          17160  sun.security.x509.RDN
 262:           715          17160  sun.security.x509.AVA
 263:           715          17160  [Lsun.security.x509.AVA;
 264:           303          16968  sun.util.calendar.ZoneInfo
 265:           299          16744  org.apache.lucene.util.packed.PackedReaderIterator
 266:          1044          16704  org.apache.lucene.analysis.NumericTokenStream$NumericAttributeFactory
 267:           347          16656  java.util.WeakHashMap$KeyIterator
 268:           122          16592  org.apache.solr.search.SolrQueryParser
 269:           336          16128  org.apache.lucene.document.Field$StringTokenStream
 270:           646          15504  org.apache.lucene.index.MultiTermsEnum$TermsEnumIndex
 271:           319          15312  sun.util.locale.LocaleObjectCache$CacheEntry
 272:           303          15280  [[B
 273:           473          15136  java.util.Vector
 274:           626          15024  org.apache.lucene.util.WeakIdentityMap
 275:           268          15008  java.lang.Package
 276:           459          14688  org.wltea.analyzer.dic.Hit
 277:           337          14552  [Lorg.apache.lucene.util.packed.PackedInts$Reader;
 278:           224          14336  com.mysql.jdbc.ConnectionPropertiesImpl$BooleanConnectionProperty
 279:           594          14256  [Ljavax.management.Descriptor;
 280:           437          13984  sun.security.util.ObjectIdentifier
 281:           285          13680  java.util.logging.LogManager$LoggerWeakRef
 282:           425          13600  org.apache.lucene.search.TermScorer
 283:           425          13600  org.apache.lucene.search.similarities.TFIDFSimilarity$ExactTFIDFDocScorer
 284:           566          13576  [Lorg.apache.lucene.search.SortField;
 285:           274          13568  [Lorg.apache.tomcat.util.http.MimeHeaderField;
 286:           281          13488  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 287:           236          13216  [Lorg.apache.lucene.store.IndexInput;
